,person_age,person_income,person_emp_length,loan_amnt,cb_person_default_on_file,cb_person_cred_hist_length,other_payments,percent_of_income,loan_status
0,21,9600,5.0,1000,0,2,5985,0.2766251728907331,no
2,23,65500,4.0,35000,0,2,1952,0.5507647762321395,no
3,24,54400,8.0,35000,1,4,6483,0.7304297013585992,no
5,26,77100,8.0,35000,0,3,15139,0.5648714513968464,no
6,24,78956,5.0,35000,0,4,1481,0.45175863181671505,no
7,24,83000,8.0,35000,0,2,21989,0.5736670436478668,no
9,22,85000,6.0,35000,0,4,18463,0.5260231149585944,no
11,23,95000,2.0,35000,0,2,19151,0.46144313043019686,no
12,26,108160,4.0,35000,0,4,28953,0.44188013685659094,yes
13,23,115000,2.0,35000,0,4,24815,0.3880911459777125,no
14,23,500000,7.0,30000,0,3,18339,0.062284469782689485,yes
15,23,120000,0.0,35000,0,4,21427,0.35506680328284623,no
16,23,92111,7.0,35000,0,4,1523,0.3863646399081556,no
17,23,113000,8.0,35000,0,4,13636,0.3522402479771346,no
18,24,10800,8.0,1750,0,2,1228,0.18282490597576265,yes
19,25,162500,2.0,35000,0,4,6378,0.22418365124710163,no
20,25,137000,9.0,34800,1,2,12775,0.28013684846045483,no
21,22,65000,4.0,34000,0,4,25333,0.8571356543222326,no
22,24,10980,0.0,1500,0,3,10596,3.90625,no
23,22,80000,3.0,33950,1,4,9563,0.4819909990487954,no
24,24,67746,8.0,33000,0,3,22965,0.7369196757553427,no
25,21,11000,3.0,4575,1,3,6687,1.0607465801066542,no
26,23,11000,0.0,1400,0,3,6717,0.3268736866682232,no
27,24,65000,6.0,32500,0,3,4563,0.5377500537750054,no
29,21,11520,5.0,2000,0,3,6855,0.4287245444801715,no
30,25,120000,2.0,32000,0,2,14045,0.30201500637062906,no
31,26,95000,7.0,31050,1,3,8886,0.36056854866804466,yes
32,25,306000,2.0,24250,0,3,10045,0.08193813248635773,yes
33,26,300000,10.0,7800,0,4,19647,0.027822067179591445,yes
35,22,48000,1.0,30000,0,2,12015,0.8336807002917882,no
36,24,64000,8.0,30000,1,3,11521,0.5716572343223003,no
37,25,75000,4.0,30000,1,4,1177,0.4063774162523875,no
38,23,71500,3.0,30000,0,4,28127,0.6916745440711963,no
39,26,62050,6.0,30000,0,2,7530,0.5502567865003668,no
41,26,300000,10.0,20000,0,4,1367,0.06697183499479294,yes
42,23,300000,1.0,24250,1,2,20172,0.08666037708878312,yes
43,26,300000,9.0,10000,0,4,4596,0.033851945132767326,yes
44,26,300000,0.0,25000,0,3,1915,0.08386869517084053,yes
45,25,300000,9.0,18000,0,3,29898,0.0666414909922918,yes
46,26,80690,8.0,30000,0,3,2399,0.3831858067977162,yes
47,22,66300,4.0,30000,0,3,8910,0.5227391531625719,no
48,26,89028,0.0,30000,0,3,21405,0.4436360409919702,no
49,24,78000,4.0,30000,1,4,23778,0.5532809560694921,no
50,23,78000,7.0,30000,1,3,8338,0.43065085699520544,no
51,23,92004,6.0,30000,1,3,24695,0.4457056262906892,no
52,23,97000,7.0,30000,0,2,27385,0.43094160741219567,no
53,25,120000,9.0,30000,0,4,10888,0.27494684361023536,no
54,26,280000,4.0,10000,1,3,29369,0.03989929418148593,yes
55,26,277104,0.0,20000,0,3,22084,0.07842522155125088,yes
56,23,277000,3.0,35000,0,4,10465,0.13131483670062094,yes
57,25,128000,9.0,30000,0,4,24248,0.28915105250983114,no
59,21,131000,0.0,30000,0,4,26658,0.2875160529796247,no
60,22,275000,6.0,12000,0,2,18891,0.046855049998242936,yes
61,26,263000,0.0,10000,0,4,27708,0.042500382503442534,yes
62,25,221850,9.0,25000,0,2,20063,0.12389301590290752,yes
63,22,70000,6.0,29100,0,3,26087,0.6626739234395281,no
65,26,260000,10.0,28000,0,3,21908,0.11760159938175159,yes
66,25,259000,9.0,20000,1,2,20956,0.0840180806909647,yes
67,24,255000,9.0,9600,0,2,4196,0.0382769014848248,yes
68,25,250000,2.0,25000,0,4,1588,0.10063926058322464,yes
69,25,12000,0.0,3000,0,3,11586,7.246376811594203,no
70,22,56950,6.0,28000,0,2,27393,0.9473221233548736,no
72,23,65000,2.0,28000,0,2,5798,0.4729569946961251,no
73,26,85000,2.0,28000,0,3,8425,0.36565458700620307,no
75,22,88000,6.0,28000,0,3,7311,0.3470113646221914,no
76,21,12000,0.0,4200,1,4,9583,1.737691352916839,no
78,24,83004,0.0,28000,1,4,3045,0.3501794669768256,no
79,24,250000,2.0,18000,1,3,17566,0.07744133818632386,yes
81,25,100000,5.0,28000,0,3,8417,0.3057335968465763,no
82,26,110000,10.0,28000,0,2,21180,0.3152443143436163,no
84,22,108000,6.0,28000,0,4,19370,0.31592011734175784,no
85,23,151200,7.0,28000,0,2,8555,0.19629149286690736,yes
86,24,69000,2.0,27600,0,2,3824,0.4234687615073033,no
87,21,12000,5.0,3250,1,3,4340,0.42428198433420367,no
88,22,70000,4.0,27500,1,3,20829,0.5592727420634114,no
89,22,240000,6.0,25000,0,2,8826,0.10814364937233426,yes
90,26,73200,5.0,27050,1,2,20239,0.5107531957478144,no
91,24,83000,5.0,27000,1,2,16347,0.40508304202361484,no
92,24,73399,0.0,27000,0,3,14329,0.4570848146267141,no
93,23,62500,7.0,26000,0,2,10414,0.49917444226855584,no
94,23,120000,1.0,25600,0,3,4868,0.22235347253587187,no
95,24,12360,2.0,1600,0,3,8199,0.38452295121365054,no
96,22,60000,0.0,25475,0,3,25173,0.7314727079564706,no
97,25,234000,3.0,20000,1,4,23727,0.09511444645770023,yes
98,24,234000,8.0,20000,0,4,27933,0.09705581194465877,yes
99,26,234000,10.0,21600,0,3,5865,0.09468078111644421,yes
100,25,221004,6.0,11900,1,3,13761,0.05742051601260356,yes
101,26,232500,0.0,25000,1,2,9670,0.1121931517300184,yes
102,25,230000,5.0,35000,0,4,7818,0.1575285126607916,yes
103,23,83000,7.0,25300,0,3,1611,0.3108528179483714,no
105,25,12600,3.0,1750,0,3,7837,0.36741549443627963,no
106,21,42500,3.0,25000,1,3,19682,1.095626259970199,no
107,24,41000,2.0,25000,0,3,6108,0.7164966181359624,no
108,25,12816,0.0,3000,1,4,3088,0.30838815789473684,no
109,24,12960,1.0,3650,0,3,6106,0.5325357455500438,no
110,26,226000,4.0,20000,0,4,13974,0.09432805410657183,yes
111,25,225000,0.0,30000,1,2,3743,0.13558893051971238,yes
112,26,213000,6.0,35000,0,2,5411,0.16860238259252658,yes
113,24,225000,0.0,6000,0,4,24902,0.029985307199472257,yes
114,24,12960,0.0,4500,0,4,11409,2.9013539651837523,no
